Ring,Case,Left_View,Held_Out_Target,Right_View,Method,Mask_OK,MAE,PSNR,SSIM,Edge_F1,Runtime_s
horizontal,1,horizontal_01.JPG,horizontal_02.JPG,horizontal_03.JPG,A_Baseline,1,33.691143,14.279169,0.181029,0.860008,0.040586
horizontal,1,horizontal_01.JPG,horizontal_02.JPG,horizontal_03.JPG,B_Lighting,1,33.676338,14.270225,0.181430,0.860044,0.036216
horizontal,1,horizontal_01.JPG,horizontal_02.JPG,horizontal_03.JPG,C_Bidirectional_Occlusion,1,31.382236,14.353692,0.197794,0.893188,0.152727
horizontal,1,horizontal_01.JPG,horizontal_02.JPG,horizontal_03.JPG,D_Full_Proposed,1,31.337610,14.369861,0.199644,0.888816,0.155787
horizontal,2,horizontal_03.JPG,horizontal_04.JPG,horizontal_05.JPG,A_Baseline,1,34.414635,14.273048,0.176898,0.855514,0.036201
horizontal,2,horizontal_03.JPG,horizontal_04.JPG,horizontal_05.JPG,B_Lighting,1,34.312019,14.285036,0.177730,0.855781,0.036234
horizontal,2,horizontal_03.JPG,horizontal_04.JPG,horizontal_05.JPG,C_Bidirectional_Occlusion,1,28.355196,15.243968,0.224880,0.879429,0.147837
horizontal,2,horizontal_03.JPG,horizontal_04.JPG,horizontal_05.JPG,D_Full_Proposed,1,28.323801,15.252806,0.227037,0.876036,0.151935
horizontal,3,horizontal_05.JPG,horizontal_06.JPG,horizontal_07.JPG,A_Baseline,1,30.783854,15.093415,0.210210,0.857342,0.035978
horizontal,3,horizontal_05.JPG,horizontal_06.JPG,horizontal_07.JPG,B_Lighting,1,30.587337,15.116248,0.210868,0.856505,0.035979
horizontal,3,horizontal_05.JPG,horizontal_06.JPG,horizontal_07.JPG,C_Bidirectional_Occlusion,1,26.010876,16.143419,0.255871,0.902042,0.158880
horizontal,3,horizontal_05.JPG,horizontal_06.JPG,horizontal_07.JPG,D_Full_Proposed,1,25.976589,16.161184,0.258083,0.898670,0.191778
horizontal,4,horizontal_07.JPG,horizontal_08.JPG,horizontal_09.JPG,A_Baseline,1,29.686928,15.575042,0.203729,0.856610,0.049758
horizontal,4,horizontal_07.JPG,horizontal_08.JPG,horizontal_09.JPG,B_Lighting,1,29.434626,15.609193,0.204409,0.851776,0.047729
horizontal,4,horizontal_07.JPG,horizontal_08.JPG,horizontal_09.JPG,C_Bidirectional_Occlusion,1,26.510473,15.984264,0.236851,0.888212,0.217898
horizontal,4,horizontal_07.JPG,horizontal_08.JPG,horizontal_09.JPG,D_Full_Proposed,1,26.444218,16.016354,0.238307,0.884693,0.157729
horizontal,5,horizontal_09.JPG,horizontal_10.JPG,horizontal_11.JPG,A_Baseline,1,29.090517,15.327049,0.210322,0.862305,0.036288
horizontal,5,horizontal_09.JPG,horizontal_10.JPG,horizontal_11.JPG,B_Lighting,1,28.893856,15.341994,0.211124,0.859309,0.036874
horizontal,5,horizontal_09.JPG,horizontal_10.JPG,horizontal_11.JPG,C_Bidirectional_Occlusion,1,27.833019,15.260979,0.233699,0.880566,0.159068
horizontal,5,horizontal_09.JPG,horizontal_10.JPG,horizontal_11.JPG,D_Full_Proposed,1,27.805634,15.268420,0.235676,0.874441,0.155402
horizontal,6,horizontal_11.JPG,horizontal_12.JPG,horizontal_13.JPG,A_Baseline,1,29.776781,15.347740,0.212857,0.839937,0.036502
horizontal,6,horizontal_11.JPG,horizontal_12.JPG,horizontal_13.JPG,B_Lighting,1,29.618069,15.367970,0.213017,0.836170,0.036313
horizontal,6,horizontal_11.JPG,horizontal_12.JPG,horizontal_13.JPG,C_Bidirectional_Occlusion,1,27.140512,15.597148,0.232832,0.867915,0.151087
horizontal,6,horizontal_11.JPG,horizontal_12.JPG,horizontal_13.JPG,D_Full_Proposed,1,27.064583,15.624175,0.234482,0.864469,0.153677
horizontal,7,horizontal_13.JPG,horizontal_14.JPG,horizontal_15.JPG,A_Baseline,1,31.805082,14.609954,0.217022,0.838520,0.036821
horizontal,7,horizontal_13.JPG,horizontal_14.JPG,horizontal_15.JPG,B_Lighting,1,31.642836,14.631934,0.217428,0.837018,0.036325
horizontal,7,horizontal_13.JPG,horizontal_14.JPG,horizontal_15.JPG,C_Bidirectional_Occlusion,1,29.486364,14.574600,0.231572,0.865002,0.149828
horizontal,7,horizontal_13.JPG,horizontal_14.JPG,horizontal_15.JPG,D_Full_Proposed,1,29.335798,14.633207,0.234773,0.857721,0.157926
horizontal,8,horizontal_15.JPG,horizontal_16.JPG,horizontal_17.JPG,A_Baseline,1,30.347538,14.885098,0.236723,0.849767,0.037505
horizontal,8,horizontal_15.JPG,horizontal_16.JPG,horizontal_17.JPG,B_Lighting,1,30.279097,14.893102,0.236501,0.848012,0.037617
horizontal,8,horizontal_15.JPG,horizontal_16.JPG,horizontal_17.JPG,C_Bidirectional_Occlusion,1,28.447714,14.935598,0.254600,0.856675,0.161523
horizontal,8,horizontal_15.JPG,horizontal_16.JPG,horizontal_17.JPG,D_Full_Proposed,1,28.432329,14.955035,0.255702,0.855465,0.161361
horizontal,9,horizontal_17.JPG,horizontal_18.JPG,horizontal_19.JPG,A_Baseline,1,32.942337,14.194522,0.207471,0.819338,0.038560
horizontal,9,horizontal_17.JPG,horizontal_18.JPG,horizontal_19.JPG,B_Lighting,1,32.830288,14.201913,0.208034,0.818278,0.036759
horizontal,9,horizontal_17.JPG,horizontal_18.JPG,horizontal_19.JPG,C_Bidirectional_Occlusion,1,31.974121,13.826498,0.210483,0.843226,0.148941
horizontal,9,horizontal_17.JPG,horizontal_18.JPG,horizontal_19.JPG,D_Full_Proposed,1,31.890434,13.842882,0.212263,0.839047,0.154008
horizontal,10,horizontal_19.JPG,horizontal_20.JPG,horizontal_21.JPG,A_Baseline,1,33.785297,14.007866,0.214505,0.820055,0.036036
horizontal,10,horizontal_19.JPG,horizontal_20.JPG,horizontal_21.JPG,B_Lighting,1,33.634201,14.020469,0.215394,0.819497,0.035831
horizontal,10,horizontal_19.JPG,horizontal_20.JPG,horizontal_21.JPG,C_Bidirectional_Occlusion,1,29.272303,14.560984,0.271807,0.855592,0.148053
horizontal,10,horizontal_19.JPG,horizontal_20.JPG,horizontal_21.JPG,D_Full_Proposed,1,29.174410,14.591172,0.273843,0.852530,0.152132
horizontal,11,horizontal_21.JPG,horizontal_22.JPG,horizontal_23.JPG,A_Baseline,1,33.033447,14.390938,0.198621,0.817522,0.036393
horizontal,11,horizontal_21.JPG,horizontal_22.JPG,horizontal_23.JPG,B_Lighting,1,33.015499,14.392725,0.199060,0.818404,0.036211
horizontal,11,horizontal_21.JPG,horizontal_22.JPG,horizontal_23.JPG,C_Bidirectional_Occlusion,1,29.264481,14.776053,0.247216,0.853230,0.147509
horizontal,11,horizontal_21.JPG,horizontal_22.JPG,horizontal_23.JPG,D_Full_Proposed,1,29.220875,14.800211,0.249675,0.854218,0.153058
horizontal,12,horizontal_23.JPG,horizontal_24.JPG,horizontal_25.JPG,A_Baseline,1,30.677448,14.940066,0.228215,0.850331,0.036174
horizontal,12,horizontal_23.JPG,horizontal_24.JPG,horizontal_25.JPG,B_Lighting,1,30.499187,14.950719,0.228894,0.850864,0.035997
horizontal,12,horizontal_23.JPG,horizontal_24.JPG,horizontal_25.JPG,C_Bidirectional_Occlusion,1,29.455339,14.612027,0.255861,0.871400,0.148127
horizontal,12,horizontal_23.JPG,horizontal_24.JPG,horizontal_25.JPG,D_Full_Proposed,1,29.314304,14.634275,0.258970,0.871180,0.153259
horizontal,13,horizontal_25.JPG,horizontal_26.JPG,horizontal_27.JPG,A_Baseline,1,28.676704,15.532605,0.230902,0.859138,0.036327
horizontal,13,horizontal_25.JPG,horizontal_26.JPG,horizontal_27.JPG,B_Lighting,1,28.662790,15.533194,0.230913,0.857449,0.035979
